golden_id,customer_tweet_id,customer_text,brand_reply_text,has_followup,followup_text,sample_layer,pseudo_intent,intent,escalate,escalate_reason,good_reply_elements
1,993295,@AppleSupport when are we getting a new update that doesn’t suck and doesn’t mess with our phones? My #6s doesn’t work properly! #tired,@355302 Hi there. We'd be happy to help out. What's going on with your iPhone?,True,"@AppleSupport Siri won’t work, i can’t dictate on whatsapp, the alarm doesn’t make any sound, phone sometimes freezes...",hard_c,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
2,215771,@AppleSupport The phone after the update operates and opens itself and is slow,@167309 We can help. Send us a Direct Message and let us know what kind of iPhone you have and what version of iOS it is running. https://t.co/GDrqU22YpT,True,@AppleSupport How to send a message directly,base,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
3,735942,@AppleSupport turn off my wifi in ios11 control panel. 15 seconds later it’s back on. Why?,@224199 The control center operates differently in iOS 11. It now acts as a disconnect button. Learn more here: https://t.co/G7BHuQnDS6,True,"@AppleSupport So why does it keep reconnecting?  If I turn it off for a reason, why does it turn back on 15 sec later. ?",base,connectivity_network,connectivity_network,no,None - Standard technical troubleshooting path.,- Guide user to Settings > General > Reset > Reset Network Settings; advise toggling Airplane Mode; ask to test on alternate Wi-Fi network.
4,585923,Hi @AppleSupport my old iPhone 6s is shutting down and bugging me out every 20 seconds 😞 please help https://t.co/Fxaxn1qwSU,@258337 We're sorry to hear this. Let's see what we can do to get it resolved. When did you start seeing these unexpected shutdowns?,True,@AppleSupport This morning :(,hard_c,other,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
5,333607,"@AppleSupport Yes, several times. This happened in both iOS 11.0.1 and 11.0.2",@3922 Let's look deeper into this together. DM us and we'll continue there. https://t.co/GDrqU22YpT,False,,hard_c,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
6,2890789,"@AppleSupport To date, it's just been Chrome. Maybe a few times with Microsoft office suite (but usually those crash just the app, not the whole computer). Using OSSierra 10.12.6. The @9242 people had me clear cookies etc but that didn't work.",@801424 Thanks for letting us know. We’d recommend following the steps listed here to help with this issue: https://t.co/jmfl9ljdvU Let us know if you’re still experiencing issues after completing the steps.,False,,base,system_performance_freeze,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
7,1450119,"@AppleSupport I’m on iPhone 6 Plus (newest software). Reset most things and it won’t connect. Can only SMS and call, no iMessage or FaceTime.","@456497 Got it, thanks! Take a look at this article here for steps on troubleshooting this issue: https://t.co/jhvYu3nzpA",True,"@AppleSupport Scratch that, now it's back to not working again on my iPhone either. I have absolutely no idea what is going on here.",hard_a,system_performance_freeze,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
8,2369484,@AppleSupport Restarted a few times and camera works fine. I can also use the Animojis.,@683816 We're glad to hear that. Don't hesitate to contact us in the future should you need us.,True,"@AppleSupport You misunderstood, the camera and animoji work but Face ID still doesn’t. I’m being inconvenienced by having to go to your store this weekend for a Genius Bar appt. This should not happen with a brand new phone that is $1K! 😩",hard_a,camera_photos_media,camera_photos_media,no,None - Standard technical troubleshooting path.,- Verify if issue occurs in front vs rear lens and 3rd-party apps; suggest force-closing Camera app; check iCloud Photos sync status.
9,1460601,Hey @115858 why do I have 16 pics on my camera roll when before updating I had more than 1k??? 😭,@459004 We're glad to hear this has been resolved. Reach us in DM if you have any further questions. https://t.co/GDrqU22YpT,False,,base,camera_photos_media,camera_photos_media,no,None - Standard technical troubleshooting path.,- Verify if issue occurs in front vs rear lens and 3rd-party apps; suggest force-closing Camera app; check iCloud Photos sync status.
10,2147782,"@AppleSupport Tuesday evening I spent over 4 hours visiting your Meadowhall store, travelling over 100 miles, to pick a new iPhone X reserved for my wife. Imagine our disappointment to be told that you did not have a phone for her even after she’d received a confirmation text!!",@631306 This is not an experience we want you to have. We'd like to get more info. Let's meet in DM. https://t.co/GDrqU22YpT,False,,hard_c,system_performance_freeze,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
