example_id,criterion,human_score,judge_score,difference,category,why_they_disagree,customer_text,agent_draft,judge_reason
42,tone,3,5,2,tone-preference,Difference between formal support politeness and active empathetic reassurance.,@115858 I hate iOS 11... its horrible and has made my iphone unusable! Last time i couldn’t use my phone i switched from @11999 to iphon,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"Empathetic, clear, and professional."
18,groundedness,3,5,2,missed-hallucination,"Judge accepted general guidance as fully grounded, while human identified specific unsubstantiated assumptions.",@AppleSupport Stuck on Activation screen with no indication of when I can proceed...,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,Troubleshooting steps supported by historical examples.
18,completeness,3,5,2,incomplete-but-plausible,"Judge scored generic troubleshooting as 5, but human penalized incomplete symptom resolution.",@AppleSupport Stuck on Activation screen with no indication of when I can proceed...,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"Provides settings path, actionable step, and support channel."
151,tone,3,5,2,tone-preference,Difference between formal support politeness and active empathetic reassurance.,"@AppleSupport Netflix works fine, when I plug my phone in to my tv via my Apple HDMI adapter it mirrors everything else but Netflix will freeze up for some reason",We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"Empathetic, clear, and professional."
177,groundedness,3,5,2,missed-hallucination,"Judge accepted general guidance as fully grounded, while human identified specific unsubstantiated assumptions.",Hey @AppleSupport! My Lightning to SD Card reader is importing photos on my 7 Plus pixilated &amp; not full resolution. Why is this?,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,Troubleshooting steps supported by historical examples.
177,tone,3,5,2,tone-preference,Difference between formal support politeness and active empathetic reassurance.,Hey @AppleSupport! My Lightning to SD Card reader is importing photos on my 7 Plus pixilated &amp; not full resolution. Why is this?,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"Empathetic, clear, and professional."
36,completeness,3,5,2,incomplete-but-plausible,"Judge scored generic troubleshooting as 5, but human penalized incomplete symptom resolution.",@115858 I’m having a lot of problems with this updates it’s so annoying .,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"Provides settings path, actionable step, and support channel."
197,groundedness,3,5,2,missed-hallucination,"Judge accepted general guidance as fully grounded, while human identified specific unsubstantiated assumptions.",@AppleSupport my FaceTime Live Photo’s are not saving,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,Troubleshooting steps supported by historical examples.
50,groundedness,3,5,2,missed-hallucination,"Judge accepted general guidance as fully grounded, while human identified specific unsubstantiated assumptions.",What is thisssss please help! I am fully up to date according to my phone... @AppleSupport https://t.co/vgpuGwLKsd,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,Troubleshooting steps supported by historical examples.
44,tone,3,5,2,tone-preference,Difference between formal support politeness and active empathetic reassurance.,@AppleSupport Photo,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"Empathetic, clear, and professional."
