golden_id,customer_text,draft_reply,retrieved_replies,human_correctness,human_groundedness,human_completeness,human_brand_voice,human_tone
2,@AppleSupport The phone after the update operates and opens itself and is slow,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"['@167309 We can help. Send us a Direct Message and let us know what kind of iPhone you have and what version of iOS it is running. https://t.co/GDrqU22YpT', ""@622414 Thanks for confirming. Please DM us if restarting your iPhone helps and if you're on iOS 11.1. We'll help there. https://t.co/GDrqU22YpT"", '@588474 Thanks for reaching out! We’d be happy to help with your iPhone. Let us know your exact iOS version in DM to proceed. https://t.co/GDrqU22YpT']",,,,,
5,"@AppleSupport Yes, several times. This happened in both iOS 11.0.1 and 11.0.2",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@3922 Let's look deeper into this together. DM us and we'll continue there. https://t.co/GDrqU22YpT"", '@627225 Got it. Please, send us a DM at the link below to continue. Send a message with your country to get started. https://t.co/GDrqU22YpT', '@272715 Are you able to re-arrange the Apps?']",,,,,
6,"@AppleSupport To date, it's just been Chrome. Maybe a few times with Microsoft office suite (but usually those crash just the app, not the whole computer). Using OSSierra 10.12.6. The @9242 people had me clear cookies etc but that didn't work.",We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"['@801424 Thanks for letting us know. We’d recommend following the steps listed here to help with this issue: https://t.co/jmfl9ljdvU Let us know if you’re still experiencing issues after completing the steps.', ""@157662 Thanks for getting that out of the way first. Next, we'd like to meet up in DM for more details. DM us here: https://t.co/GDrqU22YpT"", ""@502826 Please DM us, and we'll go from there. https://t.co/GDrqU2kzhr""]",,,,,
8,@AppleSupport Restarted a few times and camera works fine. I can also use the Animojis.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"[""@156915 Fantastic! We're glad you're able to download that album to enjoy now.  Feel free to reach back out in the future."", '@169784 Please tell us which version of iOS you have installed on the iPod. You can check this in Settings &gt; General &gt; About &gt; Version.', '@204465 Okay! Send us a DM, letting us know which iOS version is currently shown in the Settings app &gt; General &gt; About. https://t.co/GDrqU22YpT']",,,,,
14,@AppleSupport I bought an iPhone and an iPad for my mum on apple store. 12 hours after the order you decided to charge my credit card for the iPad again. I wonder how your billing system even works or when I can get my $529 back.,We can help point you in the right direction for billing inquiries. You can review your purchase history and request refunds at reportaproblem.apple.com. Let us know in DM if you have questions: https://t.co/GDrqU22YpT,"[""@774966 We want to help get you pointed in the right direction. You'll want to speak to our team over in Online Store support. You'll be able to reach them here:  https://t.co/8yjRd1Xo0i"", ""@133745 We'd like to guide you in the right direction. DM us what country or region you're located in. https://t.co/GDrqU22YpT"", ""@719401 We're happy you've reached out to us. For more help with this, please reach out to our sales team here:  https://t.co/8yjRd1Xo0i""]",,,,,
15,"@AppleSupport I know how to do that, my problem is that my WiFi will turn on by itself and connect to a network that’s locked so I’m always having to turn it back off, it’s just frustrating",Let's work together to get this sorted out. We recommend resetting your Network Settings via Settings > General > Reset > Reset Network Settings. Send us a DM if the issue persists: https://t.co/GDrqU22YpT,"[""@149682 Just to be clear, are you turning Wi-Fi off in Settings &gt; Wi-Fi and it's turning back on?"", ""@640023 We'd like to help. Which device is this happening with? Have you connected to these devices in the past?"", '@373368 To disable Wi-Fi, you want to do so from Settings.  You can see more on that here: https://t.co/G7BHuQnDS6']",,,,,
19,My mac book smells burnt. How to deal with？@115858 https://t.co/qWP7qtXVnP,"[ESCALATED TO HUMAN SPECIALIST: rule:safety_hazard ('burnt'): Critical hardware safety hazard (battery thermal runaway, swelling, electric shock, fire).] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.","[""@207298 We'd like to help. DM us which country you're in along with any other details and we'll continue support there. https://t.co/GDrqU22YpT"", '@396523 We’ll do everything we can to help. Does it sound like fan noise or an alert/tone?', ""@498938 This is certainly not the behavior we want you to experience. Could you tell us which MacBook and macOS version you're using?""]",,,,,
21,"@AppleSupport Tried all that yesterday but oddly enough out the blue it’s started working again so I won’t touch anything now. You know the saying ‘if it ain’t broke then don’t fix it’.  Thanks anyway, I hope it’s all resolved now.",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@399425 Fair enough. If it comes back, just let us know. Have a wonderful day.', ""@349069 Great! So glad to hear it's working. We're here for you if you have any other questions."", '@466619 Great! Thank you for the update.']",,,,,
26,@AppleSupport not gonna lie iOS11 sucks. Half the time my phone is a brick. Freezes up all the time. Notifications don’t show up. What gives,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@411209 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT"", ""@816609 We want you to have a good experience with your device. We'd be happy to help. Would you tell us more about what's happening on your iPhone?"", ""@544274 We'd like to see how we can assist. To begin, please DM us your iPhone model, iOS version, and when this started to occur: https://t.co/GDrqU22YpT""]",,,,,
28,@AppleSupport iTunes doesn’t accept my PayPal account as my payment method can you please help,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@261806 We\'d like to look into this for you. Please check out the ""PayPal"" section here: https://t.co/QlgvVVFJem\n\nIf you\'re still running into trouble, please DM us the details of what you\'re experiencing and we\'ll go from there. https://t.co/GDrqU22YpT', ""@261295 Let's team up and work this out together. Please meet us in DM and we'll be happy to take a closer look into this with you. https://t.co/GDrqU22YpT"", ""@451006 Thanks for contacting us. Let's get you to the right spot for help. Please visit:  https://t.co/SDIe7UiyJN""]",,,,,
