customer_tweet_id,customer_text,intent
1774411,I️ don’t even have to type anything to get the #predictivetext #iosglitch @AppleSupport @34173 #apple @175600 https://t.co/p8IqzbDyD0,keyboard_autocorrect_bug
1420700,"So... @115858 still hasnt charged me for my phone, despite confirming my order by email and phone several days ago. What up with that?",battery_drain_power
1575014,@115858 Fix the i’s. This shit annoying.,keyboard_autocorrect_bug
2519347,@AppleSupport I can’t make calls. It just keeps ending the call before it’s even rung. WTF.,keyboard_autocorrect_bug
816430,@AppleSupport On 11.0.2. Planning to update tonight.,system_performance_freeze
1784621,@AppleSupport why does my phone keep getting set to the wrong Time Zone. It should Pacific Time https://t.co/aqkfbv3FNp,keyboard_autocorrect_bug
1745533,@AppleSupport I phone 7 with 11.0.3,system_performance_freeze
2360308,@AppleSupport Tried that. No different i’m afraid,system_performance_freeze
1588245,@AppleSupport My MacBook Pro just went blank and won’t turn on. It’s fully charged😫😫🙁,battery_drain_power
2906738,@AppleSupport hi Apple. I bought a new iPhone 7 yesterday! It already had iOS 11 on it. I do feel however like my battery is dropping quickly despite it being new! What do I do?,battery_drain_power
2278002,@115858 you better change this bullshit question mark mad annoying,battery_drain_power
1998284,Dear @AppleSupport: why is this happening when typing the letter eye “I️”????,keyboard_autocorrect_bug
1166207,@115858 ruined my phone with updates. @126972 is trying to ruin my channel. Are there any decent companies left???,system_performance_freeze
1271108,Şarj hemen bitiyor bu sorun çözülmez ise samsug almam gerekecek @AppleSupport,system_performance_freeze
2726006,@115858 It's saying it can't connect to the server.,other
446496,@AppleSupport hi there any idea how I can get a duplicate copy of my work request sheet for recent work carried out in my MacBook - lost original,keyboard_autocorrect_bug
388547,@AppleSupport why won’t my bandage app icons show how many notifications I’ve got ?,system_performance_freeze
2856754,"@AppleSupport Thanks, yes I did install the update last night. My texts are glitchy - won't open outside links, can't text photos without going into text message first, etc. Also, phone randomly shuts down around 45F or less.",system_performance_freeze
1752388,"When the heck is @115858 going to fix this glitch with the letter, “I” (I️) and the word, “it” (I️t)?!?!
I KNOW YOU’VE NOTICED! 🙄 #fb",keyboard_autocorrect_bug
2263467,"@AppleSupport Yes. I thought it was really weird because the first time I added it, it said I couldn’t play it. Then, I deleted it and re-installed it. Now, it works.",system_performance_freeze
2770827,@AppleSupport I see it happening after I’ve been using it. It happens usually with Twitter and Snapchat &amp; I am on iOS 11.2.,system_performance_freeze
2406608,@115858 how have a been awake for an hour and my phone is down 20% battery??? When will the new update stop killin me like this???????,battery_drain_power
1905441,My phone keeps freezing and dies at 4% like the iPhone 4 so wassup @AppleSupport,system_performance_freeze
2547236,@AppleSupport Any news about the solution of this #iPhoneX #bug ?? #appleitalia #AppleNews https://t.co/rF111i4Z2O,system_performance_freeze
1882367,@AppleSupport voiceover not reading sms properly on ios11.03 possibly needs a bug fix #accessibility,system_performance_freeze
1738779,Dear @115858 please fix this whole i thing. I’m over it. Sincerely a frustrated new iPhone 8 owner,battery_drain_power
1471809,"Hey, @115858, pretty sure I️ &amp; everyone else is sick of not being able to just type “I” without a weird ass autocorrect. @AppleSupport",keyboard_autocorrect_bug
107368,@AppleSupport my app suddenly is not working https://t.co/VkbBZsH8bW,other
1526940,@AppleSupport Where is “vazgeç” button on screen? İ can not touch it.,system_performance_freeze
2056932,@AppleSupport your iOS 11 update absolutely A1 trash. It’s drains my battery my 6s plus battery sucks now. How do I get back with ios10,battery_drain_power
101259,Only to break File Sharing! Sigh :-( /cc @115858 https://t.co/QGw2mX4igg,other
2020779,@115858 y’all update fucking up my phone,system_performance_freeze
1710738,@515161 @AppleSupport So lame😡 me too 😡,audio_music_playback
